es_ID,paper_ID,cohort_ID,species_ID,species_common,species_latin,taxa,sex,n,k,est,R,fixed_yn,fixed_var,method,annual_event,location,country,long,lat,tag_period,notes,data_location,data_presentation,title,pub_year,authors,journal,DOI,Papers for Data Extraction::fulltext_ID
es034,p015,c019,s008,Brown skua,Catharacta antarctica lonnbergi,Seabird,M,4,2.5,ICC,0.972,Y,year,GLS,Arrival_breed,King George Island,Not,-59.5833,-62.3166,Breeding,,"Table 1, p. 220",text,Consistent variation in individual migration strategies of brown skuas,2017,"Krietsch, J. and Hahn, S. and Kopp, M. and Phillips, R. A. and Peter, H. U. and Lisovski, S.",Marine Ecology Progress Series,10.3354/meps11932,ft032
es035,p016,c020,s013,Collared flycatcher,Ficedula albicollis,Landbird,M,106,2.2,ICC,0.24,N,NA,Conventional,Arrival_breed,Czechia,Europe,17.22,49.83,Breeding,,"text, results, last paragraph",text,The genetic regulation of avian migration timing: combining candidate genes and quantitative genetic approaches in a long-distance migrant,2021,"Krist, M. and Munclinger, P. and Briedis, M. and AdamÃ­k, P.",Oecologia,10.1007/s00442-021-04930-x,ft056
es036,p017,c021,s045,Common murre,Uria aalge,Seabird,B,7,1.4,ICC,0.01,N,NA,GLS,Depart_breed,7 seabird colonies ranging 74 to 47 N,North America,-82.97,62.54,Breeding,,"Table 2, p. 7",text,Individual winter movement strategies in two species of murre (Uria spp.) in the Northwest Atlantic,2014,"McFarlane Tranquilla, L. A. and Montevecchi, W. A. and Fifield, D. A. and Hedd, A. and Gaston, A. J. and Robertson, G. J. and Phillips, R. A.",PLoS ONE,10.1371/journal.pone.0090583,ft081
es037,p017,c022,s045,Common murre,Uria aalge,Seabird,B,7,2.3,ICC,0.35,N,NA,GLS,Arrival_breed,7 seabird colonies ranging 74 to 47 N,North America,-82.97,62.54,Breeding,,"Table 2, p. 7",text,Individual winter movement strategies in two species of murre (Uria spp.) in the Northwest Atlantic,2014,"McFarlane Tranquilla, L. A. and Montevecchi, W. A. and Fifield, D. A. and Hedd, A. and Gaston, A. J. and Robertson, G. J. and Phillips, R. A.",PLoS ONE,10.1371/journal.pone.0090583,ft081
es038,p017,c023,s045,Common murre,Uria aalge,Seabird,B,6,2.7,ICC,0.42,N,NA,GLS,Arrival_breed,7 seabird colonies ranging 74 to 47 N,North America,-82.97,62.54,Breeding,,"Table 2, p. 7",text,Individual winter movement strategies in two species of murre (Uria spp.) in the Northwest Atlantic,2014,"McFarlane Tranquilla, L. A. and Montevecchi, W. A. and Fifield, D. A. and Hedd, A. and Gaston, A. J. and Robertson, G. J. and Phillips, R. A.",PLoS ONE,10.1371/journal.pone.0090583,ft081
es039,p017,c022,s045,Common murre,Uria aalge,Seabird,B,7,1.1,ICC,0.56,N,NA,GLS,Depart_breed,7 seabird colonies ranging 74 to 47 N,North America,-82.97,62.54,Breeding,,"Table 2, p. 7",text,Individual winter movement strategies in two species of murre (Uria spp.) in the Northwest Atlantic,2014,"McFarlane Tranquilla, L. A. and Montevecchi, W. A. and Fifield, D. A. and Hedd, A. and Gaston, A. J. and Robertson, G. J. and Phillips, R. A.",PLoS ONE,10.1371/journal.pone.0090583,ft081
es040,p017,c021,s045,Common murre,Uria aalge,Seabird,B,7,1.1,ICC,0.64,N,NA,GLS,Arrival_breed,7 seabird colonies ranging 74 to 47 N,North America,-82.97,62.54,Breeding,,"Table 2, p. 7",text,Individual winter movement strategies in two species of murre (Uria spp.) in the Northwest Atlantic,2014,"McFarlane Tranquilla, L. A. and Montevecchi, W. A. and Fifield, D. A. and Hedd, A. and Gaston, A. J. and Robertson, G. J. and Phillips, R. A.",PLoS ONE,10.1371/journal.pone.0090583,ft081
es041,p017,c023,s045,Common murre,Uria aalge,Seabird,B,6,3,ICC,0.82,N,NA,GLS,Depart_breed,7 seabird colonies ranging 74 to 47 N,North America,-82.97,62.54,Breeding,,"Table 2, p. 7",text,Individual winter movement strategies in two species of murre (Uria spp.) in the Northwest Atlantic,2014,"McFarlane Tranquilla, L. A. and Montevecchi, W. A. and Fifield, D. A. and Hedd, A. and Gaston, A. J. and Robertson, G. J. and Phillips, R. A.",PLoS ONE,10.1371/journal.pone.0090583,ft081
es042,p018,c027,s003,Common swift,Apus apus,Landbird,M,3,2,ICC,-0.45,N,NA,GLS,Depart_breed,"near Olpe, Germany",Europe,7.8166,51.033,Breeding,,"Table 2, p. 900",text,'Same procedure as last year?' Repeatedly tracked swifts show individual consistency in migration pattern in successive years,2017,"Wellbrock, A. H. J. and Bauch, C. and Rozman, J. and Witte, K.",Journal of Avian Biology,10.1111/jav.01251,ft123
es043,p018,c027,s003,Common swift,Apus apus,Landbird,M,3,2,ICC,-0.07,N,NA,GLS,Arrival_breed,"near Olpe, Germany",Europe,7.8166,51.033,Breeding,,"Table 2, p. 900",text,'Same procedure as last year?' Repeatedly tracked swifts show individual consistency in migration pattern in successive years,2017,"Wellbrock, A. H. J. and Bauch, C. and Rozman, J. and Witte, K.",Journal of Avian Biology,10.1111/jav.01251,ft123
es044,p018,c027,s003,Common swift,Apus apus,Landbird,M,3,2,ICC,0.67,N,NA,GLS,Nonbreed_arrival,"near Olpe, Germany",Europe,7.8166,51.033,Breeding,,"Table 2, p. 900",text,'Same procedure as last year?' Repeatedly tracked swifts show individual consistency in migration pattern in successive years,2017,"Wellbrock, A. H. J. and Bauch, C. and Rozman, J. and Witte, K.",Journal of Avian Biology,10.1111/jav.01251,ft123
